iter	Logloss
0	0.6622858533
1	0.6397042868
2	0.6231429874
3	0.6125499779
4	0.6037783415
5	0.5971022582
6	0.5927347375
7	0.589200675
8	0.5860180367
9	0.5831588626
10	0.5814472293
11	0.5797431523
12	0.5786886817
13	0.5778195999
14	0.5767474564
15	0.5759626396
16	0.5753725793
17	0.5747128909
18	0.5742563093
19	0.5738022633
20	0.5733988539
21	0.5730349704
22	0.572687868
23	0.5723454342
24	0.5721703539
25	0.5718879211
26	0.5716903965
27	0.5715154543
28	0.5712379929
29	0.5711308709
30	0.5709861114
31	0.5708131289
32	0.5707186006
33	0.5705594007
34	0.570482321
35	0.5703921807
36	0.5702348202
37	0.5701354983
38	0.5700259148
39	0.5699495281
40	0.5698266667
41	0.5697597162
42	0.5696628718
43	0.5695562096
44	0.5695027631
45	0.5693938738
46	0.569281754
47	0.5692184789
48	0.5691702757
49	0.5690866734
50	0.5690228296
51	0.5689549664
52	0.5688846657
53	0.5688121941
54	0.5687805691
55	0.568720787
56	0.5686844321
57	0.568616941
58	0.5685681315
59	0.5685121184
60	0.5684876442
61	0.5684499723
62	0.568416604
63	0.5683727615
64	0.5683280968
65	0.5683017502
66	0.5682521971
67	0.5681974524
68	0.568138432
69	0.5680948113
70	0.5680471279
71	0.5680125831
72	0.5679921715
73	0.5679787185
74	0.5679464196
75	0.5679282607
76	0.5679094777
77	0.5678755713
78	0.567834589
79	0.567812287
80	0.5678025848
81	0.5677693526
82	0.5677435761
83	0.5677224443
84	0.5677116155
85	0.5676997266
86	0.5676746957
87	0.5676556782
88	0.5676213553
89	0.567593792
90	0.5675698238
91	0.5675526069
92	0.5675234459
93	0.5675092439
94	0.5674893097
95	0.5674725788
96	0.5674308418
97	0.5674056585
98	0.5673925985
99	0.5673624413
100	0.5673256645
101	0.5673020581
102	0.567286102
103	0.5672660342
104	0.5672455341
105	0.5672320773
106	0.5672167247
107	0.5671964394
108	0.5671803841
109	0.5671524659
110	0.5671304153
111	0.5671155965
112	0.5670982917
113	0.5670656104
114	0.5670452242
115	0.5670372195
116	0.567009462
117	0.5669881765
118	0.5669721471
119	0.5669438361
120	0.566918168
121	0.5669023223
122	0.5668881614
123	0.5668709449
124	0.5668494505
125	0.5668355082
126	0.5668113989
127	0.5667890588
128	0.5667709269
129	0.5667455592
130	0.5667351977
131	0.566719983
132	0.5667086293
133	0.5666913907
134	0.5666688531
135	0.566650079
136	0.5666258709
137	0.5666029094
138	0.566590415
139	0.5665764509
140	0.5665632089
141	0.566551466
142	0.5665425012
143	0.5665242298
144	0.566502363
145	0.5664933664
146	0.5664774523
147	0.5664608475
148	0.5664404054
149	0.5664245937
150	0.5663997562
151	0.5663890031
152	0.5663690335
153	0.5663591549
154	0.566336996
155	0.5663266532
156	0.5663244224
157	0.5663088627
158	0.5662920296
159	0.5662833032
160	0.5662706178
161	0.5662560812
162	0.5662429709
163	0.5662273083
164	0.5662082703
165	0.5661928057
166	0.5661797009
167	0.5661652977
168	0.5661550732
169	0.5661442238
170	0.5661335604
171	0.5661253748
172	0.5661079454
173	0.5661007711
