iter	Passed	Remaining
0	168	168274
1	201	100670
2	230	76762
3	268	66733
4	303	60297
5	332	55010
6	362	51447
7	392	48680
8	425	46816
9	457	45328
10	487	43798
11	521	42896
12	555	42147
13	583	41104
14	617	40546
15	648	39869
16	682	39450
17	714	38962
18	745	38506
19	779	38192
20	812	37855
21	844	37529
22	882	37505
23	918	37353
24	957	37340
25	987	36988
26	1015	36608
27	1045	36288
28	1074	35963
29	1099	35564
30	1125	35191
31	1154	34919
32	1179	34565
33	1200	34121
34	1225	33792
35	1250	33477
36	1276	33219
37	1302	32981
38	1328	32740
39	1357	32587
40	1382	32336
41	1408	32121
42	1432	31876
43	1457	31659
44	1482	31467
45	1506	31253
46	1534	31114
47	1559	30937
48	1582	30711
49	1607	30536
50	1633	30389
51	1662	30302
52	1687	30153
53	1718	30098
54	1749	30062
55	1776	29952
56	1802	29822
57	1828	29699
58	1851	29525
59	1873	29349
60	1900	29257
61	1927	29154
62	1950	29013
63	1971	28836
64	1994	28684
65	2017	28548
66	2039	28407
67	2062	28264
68	2084	28119
69	2107	27993
70	2129	27857
71	2153	27754
72	2174	27611
73	2197	27497
74	2219	27371
75	2245	27304
76	2272	27241
77	2298	27168
78	2324	27105
79	2350	27035
80	2376	26963
81	2402	26899
82	2427	26814
83	2450	26717
84	2472	26615
85	2494	26510
86	2517	26421
87	2540	26330
88	2564	26251
89	2590	26196
90	2611	26086
91	2633	25993
92	2657	25919
93	2679	25825
94	2702	25741
95	2724	25653
96	2748	25582
97	2771	25506
98	2794	25429
99	2816	25351
100	2842	25298
101	2867	25249
102	2889	25164
103	2912	25093
104	2938	25043
105	2960	24968
106	2987	24930
107	3010	24866
108	3034	24802
109	3055	24722
110	3075	24632
111	3098	24564
112	3120	24496
113	3143	24434
114	3167	24376
115	3193	24333
116	3214	24259
117	3236	24194
118	3259	24130
119	3281	24066
120	3307	24030
121	3338	24024
122	3366	23999
123	3391	23959
124	3416	23917
125	3442	23879
126	3465	23821
127	3487	23756
128	3511	23708
129	3533	23647
130	3555	23588
131	3578	23531
132	3605	23504
133	3632	23477
134	3659	23447
135	3684	23410
136	3708	23359
137	3731	23308
138	3753	23247
139	3772	23175
140	3796	23130
141	3823	23101
142	3853	23091
143	3876	23042
144	3904	23022
145	3926	22966
146	3950	22923
147	3978	22903
148	4007	22889
149	4035	22868
150	4063	22848
151	4093	22836
152	4123	22825
153	4151	22806
154	4180	22787
155	4208	22767
156	4234	22738
157	4265	22728
158	4296	22726
159	4326	22716
160	4357	22710
161	4388	22699
162	4414	22667
163	4439	22630
164	4464	22592
165	4491	22567
166	4519	22542
167	4546	22514
168	4569	22467
169	4591	22414
170	4613	22367
171	4636	22318
172	4661	22284
173	4685	22244
174	4712	22216
175	4743	22206
176	4770	22179
177	4799	22162
178	4828	22145
179	4855	22119
180	4883	22099
181	4915	22090
182	4944	22075
183	4972	22051
184	4999	22024
185	5027	22002
186	5057	21985
187	5083	21956
188	5110	21928
189	5139	21910
190	5171	21903
191	5200	21885
192	5226	21853
193	5251	21818
194	5273	21768
195	5294	21718
196	5319	21684
197	5343	21645
198	5371	21622
199	5398	21594
200	5422	21553
201	5445	21513
202	5469	21473
203	5496	21448
204	5521	21411
205	5543	21367
206	5571	21343
207	5598	21318
208	5621	21276
209	5645	21237
210	5667	21194
211	5691	21155
212	5714	21115
213	5737	21073
214	5762	21038
215	5789	21012
216	5809	20962
217	5831	20918
218	5858	20892
219	5885	20865
220	5913	20846
221	5935	20802
222	5957	20758
223	5978	20712
224	6003	20678
225	6027	20642
226	6041	20573
227	6064	20532
228	6086	20493
229	6107	20445
230	6130	20407
231	6152	20367
232	6178	20338
233	6204	20311
234	6225	20266
235	6248	20229
236	6269	20183
237	6289	20137
238	6311	20096
239	6332	20052
240	6356	20017
241	6383	19994
242	6408	19963
243	6438	19950
244	6477	19961
245	6514	19967
246	6554	19982
247	6603	20024
248	6644	20039
249	6677	20033
250	6714	20037
251	6748	20030
252	6781	20021
253	6815	20015
254	6839	19982
255	6874	19979
256	6927	20027
257	6982	20080
258	7018	20081
259	7057	20087
260	7093	20083
261	7130	20083
262	7161	20068
263	7195	20060
264	7231	20057
265	7280	20090
266	7322	20103
267	7352	20083
268	7383	20065
269	7408	20029
270	7435	20001
271	7459	19965
272	7488	19942
273	7518	19921
274	7546	19895
275	7575	19871
276	7604	19848
277	7649	19865
278	7688	19868
279	7722	19859
280	7753	19840
281	7781	19811
282	7808	19783
283	7835	19754
284	7866	19734
285	7892	19703
286	7927	19694
287	7958	19675
288	7983	19640
289	8005	19599
290	8029	19562
291	8050	19519
292	8072	19479
293	8095	19440
294	8119	19404
295	8147	19378
296	8171	19341
297	8194	19302
298	8215	19260
299	8237	19220
300	8259	19181
301	8281	19141
302	8305	19105
303	8328	19067
304	8356	19042
305	8384	19014
306	8410	18986
307	8433	18948
308	8455	18909
309	8477	18870
310	8501	18833
311	8522	18792
312	8549	18765
313	8574	18732
314	8597	18695
315	8619	18656
316	8643	18622
317	8666	18585
318	8688	18548
319	8712	18514
320	8739	18485
321	8766	18457
322	8790	18425
323	8812	18387
324	8841	18363
325	8863	18324
326	8888	18293
327	8916	18267
328	8944	18241
329	8970	18212
330	8999	18189
331	9022	18154
332	9045	18118
333	9067	18080
334	9089	18043
335	9110	18003
336	9133	17969
337	9160	17941
338	9177	17894
339	9199	17857
340	9221	17820
341	9243	17784
342	9266	17749
343	9288	17712
344	9310	17676
345	9331	17638
346	9353	17602
347	9378	17571
348	9406	17546
349	9432	17518
350	9459	17490
351	9482	17456
352	9498	17408
353	9521	17375
354	9543	17339
355	9566	17305
356	9588	17270
357	9617	17246
358	9640	17212
359	9661	17176
360	9684	17141
361	9707	17108
362	9730	17074
363	9753	17041
364	9777	17009
365	9802	16980
366	9830	16955
367	9857	16928
368	9880	16895
369	9902	16861
370	9927	16832
371	9958	16812
372	9982	16779
373	10006	16749
374	10030	16717
375	10053	16684
376	10075	16649
377	10099	16617
378	10123	16586
379	10147	16556
380	10170	16523
381	10191	16487
382	10219	16463
383	10244	16434
384	10269	16403
385	10293	16372
386	10318	16344
387	10345	16317
388	10371	16290
389	10398	16264
390	10423	16235
391	10450	16208
392	10479	16186
393	10507	16161
394	10536	16137
395	10564	16112
396	10589	16083
397	10613	16053
398	10639	16025
399	10668	16003
400	10692	15972
401	10713	15936
402	10735	15903
403	10759	15872
404	10781	15839
405	10805	15809
406	10833	15784
407	10857	15753
408	10883	15726
409	10907	15696
410	10936	15673
411	10968	15654
412	10999	15633
413	11026	15607
414	11052	15580
415	11077	15551
416	11104	15524
417	11127	15493
418	11155	15468
419	11183	15443
420	11212	15420
421	11241	15396
422	11269	15372
423	11297	15348
424	11322	15318
425	11352	15296
426	11379	15270
427	11408	15246
428	11438	15225
429	11470	15205
430	11499	15181
431	11530	15160
432	11561	15139
433	11591	15117
434	11621	15095
435	11653	15074
436	11684	15054
437	11716	15033
438	11748	15013
439	11778	14990
440	11803	14961
441	11830	14935
442	11858	14909
443	11882	14879
444	11897	14838
445	11922	14810
446	11955	14790
447	11983	14765
448	12013	14742
449	12039	14715
450	12066	14689
451	12090	14658
452	12117	14631
453	12140	14600
454	12161	14567
455	12189	14542
456	12214	14513
457	12239	14484
458	12264	14456
459	12287	14424
460	12314	14398
461	12330	14358
462	12352	14326
463	12375	14296
464	12399	14266
465	12423	14236
466	12449	14208
467	12475	14181
468	12500	14152
469	12525	14124
470	12550	14095
471	12570	14062
472	12592	14029
473	12613	13997
474	12636	13966
475	12660	13936
476	12684	13908
477	12711	13881
478	12736	13852
479	12760	13823
480	12784	13794
481	12807	13764
482	12829	13733
483	12852	13702
484	12875	13671
485	12899	13642
486	12925	13615
487	12952	13589
488	12981	13565
489	13010	13541
490	13034	13512
491	13058	13483
492	13082	13454
493	13107	13426
494	13132	13397
495	13157	13370
496	13184	13343
497	13212	13318
498	13240	13293
499	13270	13270
500	13301	13248
501	13332	13225
502	13362	13202
503	13390	13177
504	13420	13154
505	13449	13130
506	13475	13103
507	13500	13074
508	13530	13051
509	13555	13023
510	13583	12998
511	13606	12968
512	13630	12940
513	13661	12917
514	13691	12894
515	13722	12871
516	13753	12849
517	13783	12825
518	13814	12803
519	13840	12775
520	13863	12745
521	13884	12714
522	13908	12685
523	13932	12656
524	13960	12630
525	13990	12607
526	14017	12581
527	14047	12557
528	14072	12529
529	14094	12498
530	14116	12467
531	14138	12437
532	14164	12410
533	14191	12384
534	14219	12358
535	14242	12329
536	14255	12290
537	14279	12261
538	14303	12233
539	14327	12205
540	14352	12177
541	14377	12149
542	14391	12111
543	14417	12085
544	14440	12055
545	14462	12025
546	14489	11999
547	14517	11974
548	14540	11945
549	14562	11914
550	14587	11887
551	14612	11859
552	14639	11833
553	14667	11808
554	14688	11777
555	14713	11749
556	14735	11719
557	14760	11691
558	14784	11663
559	14810	11636
560	14835	11609
561	14863	11584
562	14877	11547
563	14899	11517
564	14921	11488
565	14946	11460
566	14973	11434
567	14999	11408
568	15027	11382
569	15055	11357
570	15082	11331
571	15112	11307
572	15142	11283
573	15177	11264
574	15207	11240
575	15233	11213
576	15262	11189
577	15291	11164
578	15318	11138
579	15348	11114
580	15376	11089
581	15407	11065
582	15434	11039
583	15463	11015
584	15489	10988
585	15514	10960
586	15543	10936
587	15573	10912
588	15605	10889
589	15631	10862
590	15662	10839
591	15689	10812
592	15716	10786
593	15740	10758
594	15754	10723
595	15780	10696
596	15803	10667
597	15827	10639
598	15852	10612
599	15879	10586
600	15905	10559
601	15932	10533
602	15958	10506
603	15983	10479
604	16014	10455
605	16040	10428
606	16067	10403
607	16094	10376
608	16120	10350
609	16148	10324
610	16171	10295
611	16193	10266
612	16219	10239
613	16243	10211
614	16268	10184
615	16302	10162
616	16349	10148
617	16383	10126
618	16415	10103
619	16451	10083
620	16487	10062
621	16521	10040
622	16555	10018
623	16599	10001
624	16642	9985
625	16704	9980
626	16791	9989
627	16844	9977
628	16920	9980
629	17000	9984
630	17074	9985
631	17117	9966
632	17168	9953
633	17212	9936
634	17254	9917
635	17291	9896
636	17331	9876
637	17377	9859
638	17418	9840
639	17457	9819
640	17494	9798
641	17526	9773
642	17558	9748
643	17595	9726
644	17625	9700
645	17653	9674
646	17684	9648
647	17717	9624
648	17750	9600
649	17787	9577
650	17824	9555
651	17858	9531
652	17897	9510
653	17927	9484
654	17958	9459
655	17993	9435
656	18037	9416
657	18069	9391
658	18102	9367
659	18138	9343
660	18175	9321
661	18214	9300
662	18250	9276
663	18285	9252
664	18319	9228
665	18354	9204
666	18395	9183
667	18435	9162
668	18469	9138
669	18501	9112
670	18529	9085
671	18548	9053
672	18586	9030
673	18620	9006
674	18652	8980
675	18680	8953
676	18713	8928
677	18757	8908
678	18798	8887
679	18835	8863
680	18869	8839
681	18903	8814
682	18939	8790
683	18976	8766
684	19018	8745
685	19084	8735
686	19120	8711
687	19162	8689
688	19199	8666
689	19235	8641
690	19271	8617
691	19312	8595
692	19348	8571
693	19384	8547
694	19415	8520
695	19461	8500
696	19501	8477
697	19554	8460
698	19612	8445
699	19659	8425
700	19700	8402
701	19739	8379
702	19775	8354
703	19814	8330
704	19848	8305
705	19883	8280
706	19923	8256
707	19963	8233
708	20005	8210
709	20066	8196
710	20109	8173
711	20150	8150
712	20194	8128
713	20235	8105
714	20277	8082
715	20316	8058
716	20365	8038
717	20412	8016
718	20451	7992
719	20496	7970
720	20529	7944
721	20568	7919
722	20606	7895
723	20652	7873
724	20706	7854
725	20758	7834
726	20805	7812
727	20841	7786
728	20879	7761
729	20917	7736
730	20964	7714
731	21011	7692
732	21074	7676
733	21125	7655
734	21185	7638
735	21262	7626
736	21329	7611
737	21391	7594
738	21435	7570
739	21479	7547
740	21519	7521
741	21557	7495
742	21591	7468
743	21630	7442
744	21672	7418
745	21708	7391
746	21739	7362
747	21774	7335
748	21811	7309
749	21849	7283
750	21901	7261
751	21959	7241
752	22001	7216
753	22040	7190
754	22093	7169
755	22145	7147
